survey_date,survey_name,zone_id,zone_name,tree_id,longitude,latitude,GBH,height,name_th,name_en,scientific_name,local_name,type,DBH_cm,WS_kg,WB_kg,WL_kg,AGB_kg,BGB,TotalBiomass_kg,CarbonStock_kgC,Sequestration_kgCO2e,Sequestration_tCO2e
26/3/2026,นายสรศักดิ์ พันธุ์กา,B,B : สนามฟุตบอล,B007,98.35215389,7.895466637,155,8.2,แซะ,Siamese rough bush,Streblus asper,ข่อย,ป่าเบญจพรรณ,49.32,405.24,90.86,12.28,508.38,137.26,645.64,316.43,1160.25,1.16
26/3/2026,นายสรศักดิ์ พันธุ์กา,B,B : สนามฟุตบอล,B008,98.35233351,7.895420396,77,9.6,ศรีตรัง,Jacaranda,Jacaranda mimosifolia D.Don,แคทราย,ป่าดิบชื้น,24.5,127.3,43.7,7.68,178.68,48.24,226.93,109.08,399.97,0.4
26/3/2026,นายสรศักดิ์ พันธุ์กา,B,B : สนามฟุตบอล,B009,98.3525191,7.895417142,67,9.7,ศรีตรัง,Jacaranda,Jacaranda mimosifolia D.Don,แคทราย,ป่าดิบชื้น,21.32,99.16,33.19,6.21,138.56,37.41,175.98,84.59,310.17,0.31
26/3/2026,นางสาววรรณชนก อมิตรสูญ,B,B : สนามฟุตบอล,B010,98.35271893,7.895510016,157,10.6,แซะ,Siamese rough bush,Streblus asper,ข่อย,ป่าเบญจพรรณ,49.95,527.32,121.43,14.67,663.42,179.12,842.55,412.93,1514.08,1.51
26/3/2026,นางสาววรรณชนก อมิตรสูญ,B,B : สนามฟุตบอล,B011,98.35295824,7.895515911,51,4.6,แซะ,Siamese rough bush,Streblus asper,ข่อย,ป่าเบญจพรรณ,16.23,29.73,5.12,1.21,36.05,9.73,45.78,22.44,82.27,0.08
26/3/2026,นางสาววรรณชนก อมิตรสูญ,B,B : สนามฟุตบอล,B012,98.35331817,7.895589115,81,8.6,ปาล์มใบพัด,Fan palm,Licuala spinosa Thunb.,ปาล์มใบพัด,กลุ่มปาล์ม,25.77,0,0,0,87.6,35.92,123.52,51.01,187.05,0.19
26/3/2026,นางสาววรรณชนก อมิตรสูญ,B,B : สนามฟุตบอล,B013,98.3531652,7.895746503,87,6,แซะ,Siamese rough bush,Streblus asper,ข่อย,ป่าเบญจพรรณ,27.68,103.13,20.13,3.97,127.23,34.35,161.58,79.19,290.36,0.29
26/3/2026,นางสาววรรณชนก อมิตรสูญ,B,B : สนามฟุตบอล,B014,98.35327147,7.895899493,107,12.9,ตะเคียน,Iron wood,Hopea odorata Roxb.,ตะเคียนทอง,ป่าดิบชื้น,34.05,309.76,116.36,14.87,440.99,119.07,560.06,269.22,987.14,0.99
26/3/2026,นางสาววรรณชนก อมิตรสูญ,B,B : สนามฟุตบอล,B015,98.35320649,7.895981809,98,11.2,ตะเคียน,Iron wood,Hopea odorata Roxb.,ตะเคียนทอง,ป่าดิบชื้น,31.18,230.47,84.02,12.16,326.65,88.2,414.85,199.42,731.2,0.73
3/30/2026,นางสาวภิญญาดา หอมจันทร์,B,B : สนามฟุตบอล,B016,98.351784,7.896036,37,5.8,มะค่าโมง,"Pod mahogany , Black rosewood",Afzelia xylocarpa ( Kurz) Craib,"มะค่าใหญ่ , มะค่าหลวง",ป่าเบญจพรรณ,11.77,20.28,3.36,0.83,24.46,6.61,31.07,15.23,55.83,0.06
3/30/2026,นางสาวภิญญาดา หอมจันทร์,B,B : สนามฟุตบอล,B017,98.351739,7.895973,67.2,6.9,ปาล์มหางหมาจิ้งจอก,Foxtail Palm,Wodyetia bifurcata A.K.Irvine,ปาล์มหางหมาจิ้งจอก หางหมาป่า,กลุ่มปาล์ม,21.38,0,0,0,71.74,29.41,101.16,41.78,153.18,0.15
3/30/2026,นางสาวภิญญาดา หอมจันทร์,B,B : สนามฟุตบอล,B018,98.35174,7.896171,86,10.6,หางนกยูงฝรั่ง,Royal Poinciana,Delonix regia,หางนกยูง,ป่าเบญจพรรณ,27.36,171.6,35.27,6.24,213.1,57.54,270.64,132.64,486.35,0.49
